iter	Passed	Remaining
0	129	129820
1	130	65290
2	131	43722
3	132	32937
4	132	26464
5	133	22139
6	134	19049
7	134	16734
8	135	14937
9	136	13510
10	137	12344
11	138	11367
12	138	10536
13	139	9829
14	140	9208
15	141	8672
16	141	8198
17	142	7779
18	143	7410
19	144	7067
20	144	6754
21	145	6469
22	146	6211
23	146	5972
24	147	5751
25	148	5547
26	148	5358
27	149	5183
28	149	5020
29	150	4871
30	151	4729
31	152	4598
32	152	4476
33	153	4360
34	154	4250
35	154	4146
36	155	4049
37	156	3957
38	157	3870
39	157	3787
40	158	3708
41	159	3631
42	159	3559
43	160	3489
44	161	3420
45	161	3356
46	162	3296
47	163	3237
48	163	3180
49	164	3126
50	165	3073
51	165	3021
52	166	2973
53	167	2926
54	167	2884
55	168	2843
56	169	2802
57	170	2761
58	170	2722
59	171	2683
60	171	2646
61	172	2610
62	173	2575
63	173	2542
64	174	2508
65	175	2477
66	175	2446
67	176	2416
68	176	2387
69	177	2358
70	178	2331
71	179	2307
72	179	2284
73	180	2260
74	181	2236
75	182	2215
76	183	2193
77	183	2172
78	184	2153
79	185	2132
80	186	2110
81	186	2090
82	186	2065
83	187	2046
84	188	2027
85	188	2008
86	189	1989
87	190	1971
88	190	1953
89	191	1935
90	192	1918
91	192	1900
92	193	1884
93	193	1868
94	194	1852
95	195	1836
96	195	1821
97	196	1806
98	196	1791
99	197	1777
100	198	1764
101	199	1752
102	200	1741
103	200	1730
104	201	1717
105	202	1706
106	203	1695
107	203	1683
108	204	1672
109	205	1661
110	206	1650
111	206	1638
112	207	1628
113	208	1617
114	208	1606
115	209	1595
116	209	1584
117	210	1573
118	211	1563
119	211	1553
120	212	1543
121	212	1532
122	213	1523
123	214	1515
124	215	1505
125	215	1496
126	216	1486
127	216	1478
128	217	1469
129	218	1461
130	218	1452
131	219	1444
132	220	1436
133	221	1428
134	221	1420
135	222	1413
136	223	1405
137	223	1397
138	224	1390
139	225	1383
140	225	1376
141	226	1367
142	227	1361
143	228	1355
144	228	1349
145	229	1343
146	230	1337
147	231	1330
148	231	1323
149	232	1317
150	233	1310
151	233	1303
152	234	1297
153	234	1290
154	235	1284
155	236	1278
156	236	1272
157	237	1266
158	238	1259
159	238	1253
160	239	1246
161	239	1240
162	240	1235
163	241	1229
164	241	1223
165	242	1217
166	243	1212
167	243	1206
168	244	1201
169	245	1196
170	245	1192
171	246	1187
172	247	1181
173	247	1176
174	248	1171
175	249	1166
176	249	1161
177	250	1156
178	251	1151
179	251	1146
180	252	1141
181	252	1136
182	253	1131
183	254	1127
184	254	1122
185	255	1117
186	255	1112
187	256	1108
188	257	1103
189	257	1099
190	258	1094
191	259	1090
192	259	1086
193	260	1082
194	261	1078
195	261	1074
196	262	1070
197	263	1066
198	263	1062
199	264	1058
200	265	1055
201	266	1051
202	266	1047
203	267	1043
204	268	1039
205	268	1035
206	269	1031
207	270	1028
208	270	1024
209	271	1020
210	271	1016
211	272	1012
212	273	1009
213	273	1005
214	274	1001
215	274	998
216	275	994
217	276	991
218	277	988
219	277	985
220	278	981
221	279	978
222	279	974
223	280	971
224	280	967
225	281	964
226	282	961
227	282	957
228	283	954
229	284	951
230	284	947
231	285	944
232	285	941
233	286	937
234	287	934
235	287	931
236	288	928
237	289	925
238	289	922
239	290	919
240	290	916
241	291	913
242	292	911
243	293	908
244	293	905
245	294	902
246	295	899
247	295	896
248	296	893
249	296	890
250	297	887
251	298	884
252	298	881
253	299	879
254	299	876
255	300	873
256	301	870
257	301	867
258	302	864
259	302	862
260	303	859
261	304	857
262	304	854
263	305	851
264	306	849
265	306	847
266	307	844
267	308	842
268	309	839
269	309	837
270	310	834
271	310	832
272	311	829
273	312	827
